	receiver_light	receiver_acceleration	receiver_angular_velocity	receiver_temperature	receiver_humidity	rssi	sender_light	sender_acceleration	sender_angular_velocity	sender_temperature	sender_humidity	within_3_m
receiver_light	1.0	-0.04965116005757472	-0.0072560468339403295	-0.06388428954114694	0.006346530701395144	0.16690141552031307	0.11230598365152385	0.01665322008197017	-0.04501695446300635	-0.05246351455957085	0.03622225319683395	0.19266981786191284
receiver_acceleration	-0.04965116005757472	1.0	0.5388379944772455	0.03365722255542922	0.13766043636578135	-0.10112102908044747	-0.023917869768615735	0.0616883312445169	0.06798445325060372	-0.16194460179616682	0.142464234977714	-0.17532226792388156
receiver_angular_velocity	-0.0072560468339403295	0.5388379944772455	1.0	-0.04382364611134437	0.27997794184562164	-0.18212071557799636	0.008677279838431156	0.08662573915623212	0.15436617461872681	-0.3369859545187112	0.36380203134500555	-0.2646174366463515
receiver_temperature	-0.06388428954114696	0.03365722255542922	-0.04382364611134438	1.0	0.10145976604381285	-0.09766140694498712	0.18704343161874284	0.09136357628853702	0.18592572980207445	0.06427756319168064	0.2768882786626075	-0.0410989681965144
receiver_humidity	0.006346530701395144	0.13766043636578135	0.27997794184562164	0.10145976604381285	0.9999999999999999	-0.3896843732770079	0.03292348926685564	0.16863660289130492	0.28712328923282604	-0.3228839766156564	0.7211267394530358	-0.432911703510946
rssi	0.16690141552031307	-0.10112102908044747	-0.1821207155779964	-0.09766140694498712	-0.3896843732770079	1.0	0.18316343531844614	-0.048318161434189835	-0.19043480305856939	0.14266556923813173	-0.42298399216406424	0.7049916078957945
sender_light	0.11230598365152385	-0.023917869768615735	0.008677279838431157	0.18704343161874284	0.03292348926685564	0.18316343531844614	1.0	0.08348621951894991	0.068309232410016	-0.09410725695444877	0.03308536227585852	0.230329741377007
sender_acceleration	0.01665322008197017	0.0616883312445169	0.08662573915623213	0.09136357628853702	0.16863660289130492	-0.04831816143418983	0.08348621951894991	1.0	0.4886837817042316	-0.1157788446888129	0.2045236096621822	-0.05721798701055121
sender_angular_velocity	-0.04501695446300635	0.06798445325060372	0.1543661746187268	0.18592572980207445	0.2871232892328261	-0.19043480305856936	0.068309232410016	0.4886837817042316	1.0	-0.2650229444278034	0.3730447951904991	-0.18483307151368994
sender_temperature	-0.05246351455957085	-0.16194460179616682	-0.3369859545187112	0.06427756319168064	-0.32288397661565643	0.14266556923813173	-0.09410725695444877	-0.1157788446888129	-0.26502294442780344	1.0	-0.5024697326925123	0.2406234592231161
sender_humidity	0.036222253196833955	0.14246423497771396	0.36380203134500555	0.2768882786626075	0.7211267394530358	-0.42298399216406424	0.03308536227585852	0.2045236096621822	0.37304479519049916	-0.5024697326925123	1.0	-0.5292866913188167
within_3_m	0.19266981786191284	-0.1753222679238816	-0.26461743664635157	-0.0410989681965144	-0.43291170351094593	0.7049916078957945	0.23032974137700699	-0.05721798701055122	-0.18483307151368997	0.24062345922311612	-0.5292866913188167	1.0
